,ASH.C1.1,ASH.C1.2,ASH.C1.3,AUC.C1.2X1,AUC.C1.3,FN.C1.2,FN.C1.3,FN.C2.1
StandType,Boreal,Boreal,Boreal,Mixed,Mixed,Temperate,Temperate,Temperate
TransplantedSite,Ashuapmushuan,Ashuapmushuan,Ashuapmushuan,Auclair,Auclair,Ferme Neuve,Ferme Neuve,Ferme Neuve
SeedSourceOrigin,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Sherbrooke
ID,ASH.C1.1,ASH.C1.2,ASH.C1.3,AUC.C1.2X1,AUC.C1.3,FN.C1.2,FN.C1.3,FN.C2.1
Acidobacteria,,,,,,,,
Actinobacteria,,,,,,,,
AD3,,,,,,,,
Armatimonadetes,,,,,,,,
Bacteroidetes,,,,,,,,
Chlamydiae,,,,,,,,
Chlorobi,,,,,,,,
Chloroflexi,,,,,,,,
Cyanobacteria,,,,,,,,
Elusimicrobia,,,,,,,,
FBP,,,,,,,,
FCPU426,,,,,,,,
Fibrobacteres,,,,,,,,
Firmicutes,,,,,,,,
Fusobacteria,,,,,,,,
Gemmatimonadetes,,,,,,,,
Nitrospirae,,,,,,,,
Proteobacteria,,,,,,,,
Spirochaetes,,,,,,,,
Tenericutes,,,,,,,,
TM6,,,,,,,,
TM7,,,,,,,,
unidentified,,,,,,,,
Verrucomicrobia,,,,,,,,
