#SampleID	Description	StandType	TransplantedSite	SeedSourceRegion	SeedSourceOrigin	TransplantedSiteLat	TransplantedSiteLon	SeedSourceOriginLat	SeedSourceOriginLon
ASH.S2.2	ASH.S2.2	Boreal	Ashuapmushuan	South	Kentucky	48.81	-72.77	38.26	-84.95
BC.S2X3	BC.S2X3	Boreal	Micoua	South	Kentucky	49.75	-68.69	38.26	-84.95
AUC.S2.2	AUC.S2.2	Mixed	Auclair	South	Kentucky	47.75	-68.08	38.26	-84.95
T1.S2.DOR	T1.S2.DOR	Temperate	Dorset	South	Kentucky	45.82	-72.51	38.26	-84.95
T2.S2.1	T2.S2.1	Temperate	Knowlton	South	Kentucky	45.19	-72.5	38.26	-84.95
ASH.N1.1.X1	ASH.N1.1.X1	Boreal	Ashuapmushuan	North	Montmagny	48.81	-72.77	46.95	-70.46
ASH.N1.1.X3	ASH.N1.1.X3	Boreal	Ashuapmushuan	North	Montmagny	48.81	-72.77	46.95	-70.46
ASH.N1.1X3	ASH.N1.1X3	Boreal	Ashuapmushuan	North	Montmagny	48.81	-72.77	46.95	-70.46
BC.N1	BC.N1	Boreal	Micoua	North	Montmagny	49.75	-68.69	46.95	-70.46
BC.N1.1X2	BC.N1.1X2	Boreal	Micoua	North	Montmagny	49.75	-68.69	46.95	-70.46
BC.N1.3X1	BC.N1.3X1	Boreal	Micoua	North	Montmagny	49.75	-68.69	46.95	-70.46
BC.N1.3X2	BC.N1.3X2	Boreal	Micoua	North	Montmagny	49.75	-68.69	46.95	-70.46
BC.N1.3X3	BC.N1.3X3	Boreal	Micoua	North	Montmagny	49.75	-68.69	46.95	-70.46
PAR.N1.3	PAR.N1.3	Boreal	Parent	North	Montmagny	47.9	-74.63	46.95	-70.46
AUC.N1.1	AUC.N1.1	Mixed	Auclair	North	Montmagny	47.75	-68.08	46.95	-70.46
AUC.N1.3	AUC.N1.3	Mixed	Auclair	North	Montmagny	47.75	-68.08	46.95	-70.46
OUI.N1.3X1	OUI.N1.3X1	Mixed	Ouimet	North	Montmagny	48.28	-68.73	46.95	-70.46
RE.N1.3	RE.N1.3	Mixed	Rivere Eternite	North	Montmagny	48.23	-70.35	46.95	-70.46
FN.N1.2	FN.N1.2	Temperate	Ferme Neuve	North	Montmagny	46.77	-75.46	46.95	-70.46
FN.N1.3	FN.N1.3	Temperate	Ferme Neuve	North	Montmagny	46.77	-75.46	46.95	-70.46
T2.N1.1	T2.N1.1	Temperate	Knowlton	North	Montmagny	45.19	-72.5	46.95	-70.46
ASH.C1.1	ASH.C1.1	Boreal	Ashuapmushuan	Central	Pennsylvania	48.81	-72.77	41.13	-77.62
ASH.C1.2	ASH.C1.2	Boreal	Ashuapmushuan	Central	Pennsylvania	48.81	-72.77	41.13	-77.62
ASH.C1.3	ASH.C1.3	Boreal	Ashuapmushuan	Central	Pennsylvania	48.81	-72.77	41.13	-77.62
BC.C1.2	BC.C1.2	Boreal	Micoua	Central	Pennsylvania	49.75	-68.69	41.13	-77.62
PAR.C1.1	PAR.C1.1	Boreal	Parent	Central	Pennsylvania	47.9	-74.63	41.13	-77.62
PAR.C1.2	PAR.C1.2	Boreal	Parent	Central	Pennsylvania	47.9	-74.63	41.13	-77.62
AUC.C1.2X1	AUC.C1.2X1	Mixed	Auclair	Central	Pennsylvania	47.75	-68.08	41.13	-77.62
AUC.C1.3	AUC.C1.3	Mixed	Auclair	Central	Pennsylvania	47.75	-68.08	41.13	-77.62
RE.C1.2X2	RE.C1.2X2	Mixed	Rivere Eternite	Central	Pennsylvania	48.23	-70.35	41.13	-77.62
C1.3X2	C1.3X2	Mixed	SaintMarcellin	Central	Pennsylvania	48.3	-68.29	41.13	-77.62
FN.C1.2	FN.C1.2	Temperate	Ferme Neuve	Central	Pennsylvania	46.77	-75.46	41.13	-77.62
FN.C1.3	FN.C1.3	Temperate	Ferme Neuve	Central	Pennsylvania	46.77	-75.46	41.13	-77.62
TN.C1.1	TN.C1.1	Temperate	Ferme Neuve	Central	Pennsylvania	46.77	-75.46	41.13	-77.62
T2.C1.1	T2.C1.1	Temperate	Knowlton	Central	Pennsylvania	45.19	-72.5	41.13	-77.62
SF.C1.3	SF.C1.3	Temperate	SaintFaustine	Central	Pennsylvania	46.05	-74.47	41.13	-77.62
ASH.N2.2	ASH.N2.2	Boreal	Ashuapmushuan	North	Rivere-du-Loup	48.81	-72.77	47.73	-69.48
ASH.N2.3	ASH.N2.3	Boreal	Ashuapmushuan	North	Rivere-du-Loup	48.81	-72.77	47.73	-69.48
BC.N2.1.X3	BC.N2.1.X3	Boreal	Micoua	North	Rivere-du-Loup	49.75	-68.69	47.73	-69.48
BC.N2.1X1	BC.N2.1X1	Boreal	Micoua	North	Rivere-du-Loup	49.75	-68.69	47.73	-69.48
BC.N2.1X2	BC.N2.1X2	Boreal	Micoua	North	Rivere-du-Loup	49.75	-68.69	47.73	-69.48
BC.N2.2X1	BC.N2.2X1	Boreal	Micoua	North	Rivere-du-Loup	49.75	-68.69	47.73	-69.48
BC.N2.2X2	BC.N2.2X2	Boreal	Micoua	North	Rivere-du-Loup	49.75	-68.69	47.73	-69.48
AUC.N2.1.X1	AUC.N2.1.X1	Mixed	Auclair	North	Rivere-du-Loup	47.75	-68.08	47.73	-69.48
AUC.N2.1X2	AUC.N2.1X2	Mixed	Auclair	North	Rivere-du-Loup	47.75	-68.08	47.73	-69.48
AUC.N2.2	AUC.N2.2	Mixed	Auclair	North	Rivere-du-Loup	47.75	-68.08	47.73	-69.48
RE.N2.2	RE.N2.2	Mixed	Rivere Eternite	North	Rivere-du-Loup	48.23	-70.35	47.73	-69.48
RE.N2.2X2	RE.N2.2X2	Mixed	Rivere Eternite	North	Rivere-du-Loup	48.23	-70.35	47.73	-69.48
RE.N2.3	RE.N2.3	Mixed	Rivere Eternite	North	Rivere-du-Loup	48.23	-70.35	47.73	-69.48
FN.N2.2	FN.N2.2	Temperate	Ferme Neuve	North	Rivere-du-Loup	46.77	-75.46	47.73	-69.48
SF.N2.3	SF.N2.3	Temperate	SaintFaustine	North	Rivere-du-Loup	46.05	-74.47	47.73	-69.48
ASH.C2.2	ASH.C2.2	Boreal	Ashuapmushuan	Central	Sherbrooke	48.81	-72.77	45.49	-72.17
ASH.C2.3	ASH.C2.3	Boreal	Ashuapmushuan	Central	Sherbrooke	48.81	-72.77	45.49	-72.17
BC.C2.1X1	BC.C2.1X1	Boreal	Micoua	Central	Sherbrooke	49.75	-68.69	45.49	-72.17
BC.C2.1X2	BC.C2.1X2	Boreal	Micoua	Central	Sherbrooke	49.75	-68.69	45.49	-72.17
BC.C2.3X1	BC.C2.3X1	Boreal	Micoua	Central	Sherbrooke	49.75	-68.69	45.49	-72.17
BC.C2.3X2	BC.C2.3X2	Boreal	Micoua	Central	Sherbrooke	49.75	-68.69	45.49	-72.17
BC.C2.3X2b	BC.C2.3X2b	Boreal	Micoua	Central	Sherbrooke	49.75	-68.69	45.49	-72.17
PAR.C2.3	PAR.C2.3	Boreal	Parent	Central	Sherbrooke	47.9	-74.63	45.49	-72.17
C2.1	C2.1	Mixed	Auclair	Central	Sherbrooke	47.75	-68.08	45.49	-72.17
C2.3X1	C2.3X1	Mixed	Auclair	Central	Sherbrooke	47.75	-68.08	45.49	-72.17
OUI.C2.2	OUI.C2.2	Mixed	Ouimet	Central	Sherbrooke	48.28	-68.73	45.49	-72.17
OUI.C2.2.X2	OUI.C2.2.X2	Mixed	Ouimet	Central	Sherbrooke	48.28	-68.73	45.49	-72.17
C2.2X2	C2.2X2	Mixed	Rivere Eternite	Central	Sherbrooke	48.23	-70.35	45.49	-72.17
RE.C2.2.1	RE.C2.2.1	Mixed	Rivere Eternite	Central	Sherbrooke	48.23	-70.35	45.49	-72.17
S.M.C2.3	S.M.C2.3	Mixed	SaintMarcellin	Central	Sherbrooke	48.3	-68.29	45.49	-72.17
S.M.C2.3X2	S.M.C2.3X2	Mixed	SaintMarcellin	Central	Sherbrooke	48.3	-68.29	45.49	-72.17
FN.C2.1	FN.C2.1	Temperate	Ferme Neuve	Central	Sherbrooke	46.77	-75.46	45.49	-72.17
FN.C2.3	FN.C2.3	Temperate	Ferme Neuve	Central	Sherbrooke	46.77	-75.46	45.49	-72.17
T2.C2.3	T2.C2.3	Temperate	Knowlton	Central	Sherbrooke	45.19	-72.5	45.49	-72.17
SF.C2.2	SF.C2.2	Temperate	SaintFaustine	Central	Sherbrooke	46.05	-74.47	45.49	-72.17
ASH.S1.2.X1	ASH.S1.2.X1	Boreal	Ashuapmushuan	South	Tennessee	48.81	-72.77	35.78	-83.67
ASH.S1.2.X3	ASH.S1.2.X3	Boreal	Ashuapmushuan	South	Tennessee	48.81	-72.77	35.78	-83.67
ASH.S1.2X2	ASH.S1.2X2	Boreal	Ashuapmushuan	South	Tennessee	48.81	-72.77	35.78	-83.67
AUC.S1.1.X2	AUC.S1.1.X2	Mixed	Auclair	South	Tennessee	47.75	-68.08	35.78	-83.67
AUC.S1X1	AUC.S1X1	Mixed	Auclair	South	Tennessee	47.75	-68.08	35.78	-83.67
S.M.S1.1X1	S.M.S1.1X1	Mixed	SaintMarcellin	South	Tennessee	48.3	-68.29	35.78	-83.67
FN.S1.1	FN.S1.1	Temperate	Ferme Neuve	South	Tennessee	46.77	-75.46	35.78	-83.67
FN.S1.2	FN.S1.2	Temperate	Ferme Neuve	South	Tennessee	46.77	-75.46	35.78	-83.67
FN.S1.3	FN.S1.3	Temperate	Ferme Neuve	South	Tennessee	46.77	-75.46	35.78	-83.67
SF.S1.3	SF.S1.3	Temperate	SaintFaustine	South	Tennessee	46.05	-74.47	35.78	-83.67
