,ASH.S2.2,BC.S2X3,AUC.S2.2,T2.S2.1,ASH.N1.1.X1,ASH.N1.1.X3,ASH.N1.1X3,BC.N1,BC.N1.1X2,BC.N1.3X1,BC.N1.3X2,BC.N1.3X3,PAR.N1.3,AUC.N1.1,AUC.N1.3,OUI.N1.3X1,RE.N1.3,FN.N1.2,FN.N1.3,T2.N1.1,ASH.C1.1,ASH.C1.2,ASH.C1.3,PAR.C1.1,PAR.C1.2,AUC.C1.2X1,AUC.C1.3,RE.C1.2X2,C1.3X2,FN.C1.2,FN.C1.3,TN.C1.1,T2.C1.1,SF.C1.3,ASH.N2.2,ASH.N2.3,BC.N2.1.X3,BC.N2.1X1,BC.N2.1X2,BC.N2.2X1,BC.N2.2X2,AUC.N2.1.X1,AUC.N2.1X2,AUC.N2.2,RE.N2.2,RE.N2.2X2,RE.N2.3,FN.N2.2,SF.N2.3,ASH.C2.2,ASH.C2.3,BC.C2.1X1,BC.C2.1X2,BC.C2.3X1,BC.C2.3X2,BC.C2.3X2b,PAR.C2.3,C2.1,C2.3X1,OUI.C2.2,OUI.C2.2.X2,C2.2X2,RE.C2.2.1,S.M.C2.3,S.M.C2.3X2,FN.C2.1,FN.C2.3,T2.C2.3,SF.C2.2,ASH.S1.2.X1,ASH.S1.2.X3,ASH.S1.2X2,AUC.S1.1.X2,AUC.S1X1,S.M.S1.1X1,FN.S1.1,FN.S1.2,FN.S1.3,SF.S1.3
StandType,Boreal,Boreal,Mixed,Temperate,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Mixed,Mixed,Mixed,Mixed,Temperate,Temperate,Temperate,Boreal,Boreal,Boreal,Boreal,Boreal,Mixed,Mixed,Mixed,Mixed,Temperate,Temperate,Temperate,Temperate,Temperate,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Temperate,Temperate,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Boreal,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Temperate,Temperate,Temperate,Temperate,Boreal,Boreal,Boreal,Mixed,Mixed,Mixed,Temperate,Temperate,Temperate,Temperate
TransplantedSite,Ashuapmushuan,Micoua,Auclair,Knowlton,Ashuapmushuan,Ashuapmushuan,Ashuapmushuan,Micoua,Micoua,Micoua,Micoua,Micoua,Parent,Auclair,Auclair,Ouimet,Rivere Eternite,Ferme Neuve,Ferme Neuve,Knowlton,Ashuapmushuan,Ashuapmushuan,Ashuapmushuan,Parent,Parent,Auclair,Auclair,Rivere Eternite,SaintMarcellin,Ferme Neuve,Ferme Neuve,Ferme Neuve,Knowlton,SaintFaustine,Ashuapmushuan,Ashuapmushuan,Micoua,Micoua,Micoua,Micoua,Micoua,Auclair,Auclair,Auclair,Rivere Eternite,Rivere Eternite,Rivere Eternite,Ferme Neuve,SaintFaustine,Ashuapmushuan,Ashuapmushuan,Micoua,Micoua,Micoua,Micoua,Micoua,Parent,Auclair,Auclair,Ouimet,Ouimet,Rivere Eternite,Rivere Eternite,SaintMarcellin,SaintMarcellin,Ferme Neuve,Ferme Neuve,Knowlton,SaintFaustine,Ashuapmushuan,Ashuapmushuan,Ashuapmushuan,Auclair,Auclair,SaintMarcellin,Ferme Neuve,Ferme Neuve,Ferme Neuve,SaintFaustine
SeedSourceOrigin,Kentucky,Kentucky,Kentucky,Kentucky,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Montmagny,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Rivere-du-Loup,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
ID,ASH.S2.2,BC.S2X3,AUC.S2.2,T2.S2.1,ASH.N1.1.X1,ASH.N1.1.X3,ASH.N1.1X3,BC.N1,BC.N1.1X2,BC.N1.3X1,BC.N1.3X2,BC.N1.3X3,PAR.N1.3,AUC.N1.1,AUC.N1.3,OUI.N1.3X1,RE.N1.3,FN.N1.2,FN.N1.3,T2.N1.1,ASH.C1.1,ASH.C1.2,ASH.C1.3,PAR.C1.1,PAR.C1.2,AUC.C1.2X1,AUC.C1.3,RE.C1.2X2,C1.3X2,FN.C1.2,FN.C1.3,TN.C1.1,T2.C1.1,SF.C1.3,ASH.N2.2,ASH.N2.3,BC.N2.1.X3,BC.N2.1X1,BC.N2.1X2,BC.N2.2X1,BC.N2.2X2,AUC.N2.1.X1,AUC.N2.1X2,AUC.N2.2,RE.N2.2,RE.N2.2X2,RE.N2.3,FN.N2.2,SF.N2.3,ASH.C2.2,ASH.C2.3,BC.C2.1X1,BC.C2.1X2,BC.C2.3X1,BC.C2.3X2,BC.C2.3X2b,PAR.C2.3,C2.1,C2.3X1,OUI.C2.2,OUI.C2.2.X2,C2.2X2,RE.C2.2.1,S.M.C2.3,S.M.C2.3X2,FN.C2.1,FN.C2.3,T2.C2.3,SF.C2.2,ASH.S1.2.X1,ASH.S1.2.X3,ASH.S1.2X2,AUC.S1.1.X2,AUC.S1X1,S.M.S1.1X1,FN.S1.1,FN.S1.2,FN.S1.3,SF.S1.3
Bacteria|[Thermi]|Deinococci|Deinococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234900719901618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561545372866128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|[Chloracidobacteria]|NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357968043216506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23854533124232e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria-5|NA,4.25260472039124e-05,0,6.9756897213212e-05,0.000287904415733976,0,0,0,0,0,2.28895806628823e-05,0.0351784266017843,6.8865780593623e-05,0,0.00185492531484917,0,0.00177348841045946,0,0.000600409691318782,0.000483179319925107,5.45702592087312e-05,0,5.6980056980057e-05,0,0,0,0.000113709585718076,0.000319795330988168,0.000290646980177876,1.86431514383191e-05,9.67238258418427e-05,0.000530926466684364,6.12632481774184e-05,0.00156479217603912,0.000132310134956338,0,0,0.000102448519618892,0.000669904538603249,0,0,0.000176928520877565,0.00012715635993727,0.000173631207315662,0.000477383936030553,0,7.32842328972921e-05,0,0,0,0.000854897576694177,6.80920604657497e-05,0,0,0,6.66622225184988e-05,0,0,0.000639549756971092,0.00215675477239354,0.00220200498348496,0.00177594989951862,0,0,3.27428702400052e-05,0.00217968157695224,0.000308749179884991,0.000253755582622818,0,0,0,0,0,0.000116774683248672,9.05182167911292e-05,0.000863138587689486,8.40618695359785e-05,0,0.00160170848905499,0.000143698807299899
Bacteria|Acidobacteria|Acidobacteriia|Acidobacteriales,0.0463959174994684,0.084797189396359,0.0767674653831398,0.0205491776730126,0.0739459936722831,0.0858178887993554,0.0947052118951404,0.0321329088738559,0.066211446984809,0.016137154367332,0.02257366855907,0.052062530128779,0.036789990471061,0.0659962901493703,0.10180405217874,0.0519673348181143,0.0478521939953811,0.0570036024581479,0.073986833363532,0.0279945429740791,0.0571650284531816,0.072022792022792,0.0904947043839657,0.0617197003649401,0.0414701042238069,0.078308001364515,0.10531926233877,0.0475207812590827,0.0144111560618207,0.0195934835776761,0.053446597646226,0.0754763217545794,0.0339364303178484,0.0849431066419688,0.11875400384369,0.0386412743078237,0.0636717549431411,0.0366772734885279,0.0474915009786752,0.0622483543171215,0.0478591648973815,0.0703174670453101,0.0466489176988077,0.0439988861041493,0.0573061133917674,0.0410758125389322,0.0693132772103756,0.0205697622252131,0.0439919822766115,0.0615855061980074,0.0837532343728721,0.0534687442033018,0.0539763653784733,0.0887031231858818,0.0583294447036864,0.100614287129694,0.0459544032185963,0.0983307751343055,0.0334067547723935,0.0337833922466246,0.0286956115343272,0.0583445642407907,0.0864714086471409,0.0199404079761632,0.0275303260045489,0.0479719038246305,0.0481628095818108,0.0523918812307251,0.0241195176096478,0.0401354662055051,0.049597933908552,0.0540747353653871,0.0478776201319554,0.0834577958814211,0.0339860818902735,0.0549764626765299,0.0529964221824687,0.056534377409978,0.0392297743928725
Bacteria|Acidobacteria|DA052|Ellin6513,0.00799489687433553,0.00646758224209518,0.029297896829549,0.00698168208154893,0.00651166212935031,0.0153908138597905,0.00642420474562222,0.011142061281337,0.00736535215589995,0.00325032045412928,0.0024330900243309,0.00840162523242201,0.0125947715126155,0.0235933483029061,0.0322509020260894,0.00684649014270395,0.0143187066974596,0.0624426078971533,0.0479555475025669,0.0247203274215553,0.00258665287118469,0.0100854700854701,0.00509451669124548,0.00467379473717908,0.00691168403730115,0.0206951446006898,0.054738300820808,0.0206940649886648,0.00878092432744831,0.0119108482679526,0.0684010264578356,0.0352263677020156,0.0159413202933985,0.0987033606774279,0.0237027546444587,0.00763780714536958,0.00916914250589079,0.0128956623681125,0.00752034614195941,0.00971432223429411,0.0112349610757254,0.0247954901877676,0.0223405486746151,0.0114969964594025,0.00610229668256962,0.00644901249496171,0.00636724926285201,0.0126514131897712,0.0259521046523895,0.00134810771709466,0.00544736483725998,0.0234186607308477,0.021877994251038,0.01822825960757,0.00939937337510833,0.0258595065887249,0.00795708538220831,0.0447684829879765,0.00752569750367107,0.00579474995653938,0.0044866102724681,0.00898472596585804,0.0178322374975095,0.00121148619888019,0.00905041698256255,0.0522557986955347,0.00832318311002842,0.0427813239618447,0.0103197936041279,0.00821444012105491,0.0117978517344603,0.0273562045657442,0.00934197465989373,0.0197782303688617,0.00469331607056158,0.0418628110289173,0.0156529516994633,0.0818057780150679,0.0260094841212818
Bacteria|Acidobacteria|EC1113|NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25425493833187e-05,0,0,0,0.000600409691318782,0,0.000109140518417462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
